courses,link,origin_site,profession,subscription,scope
Arts and Culture Strategy,https://www.coursera.org/learn/arts-culture-strategy,coursera.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
"Hollywood: History, Industry, Art",https://www.edx.org/course/hollywood-history-industry-art,edx.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Inspiring and Motivating Arts and Culture Teams,https://www.edx.org/course/inspiring-and-motivating-arts-and-culture-teams,edx.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Art and Design in the Digital Age,https://www.edx.org/course/art-and-design-in-the-digital-age,edx.org,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Introduction To Fluid Art,https://www.udemy.com/course/introduction-to-fluid-art/,www.udemy.com,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Art Fundamentals - Building Blocks of Digital Painting,https://www.udemy.com/course/art-fundamentals-in-one-hour/,www.udemy.com,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Acrylic Art Painting Techniques BASICS,https://www.udemy.com/course/acrylic-art-painting-techniques/,www.udemy.com,Art Director/Creative Director/Designer/Art Professor,free,Humanities
Art Academy: Game Art Design Essentials Course For Artists,https://www.udemy.com/course/art-academy/,www.udemy.com,Art Director/Creative Director/Designer/Art Professor,free,Humanities
,,,Art Director/Creative Director/Designer/Art Professor,,Humanities
Theatre and Globalization,https://www.coursera.org/learn/global-theatre,coursera.org,Actor/Director/stage manager/set designer,free,Humanities
18th-Century Opera: Handel & Mozart,https://www.edx.org/course/18th-century-opera-handel-mozart,edx.org,Actor/Director/stage manager/set designer,free,Humanities
Actor Boss Etiquette,https://www.udemy.com/course/actorbossetiquette/,www.udemy.com,Actor/Director/stage manager/set designer,free,Humanities
Inside Opera: Why Does It Matter?,https://www.futurelearn.com/courses/inside-opera,futurelearn.com,Actor/Director/stage manager/set designer,free,Humanities
,,,Actor/Director/stage manager/set designer,,Humanities
Essay Essentials: Improve Your Academic Writing,https://www.udemy.com/course/essay-essentials-improve-your-academic-writing/,www.udemy.com,Writer/Author,free,Humanities
Learn English for Academic Writing for Beginner,https://www.udemy.com/course/english-for-academic-writing/,www.udemy.com,Writer/Author,free,Humanities
How to Score a Full Mark in Writing,https://www.udemy.com/course/how-to-score-a-full-mark-in-writing/,www.udemy.com,Writer/Author,free,Humanities
APA referencing style guide for beginners.,https://www.udemy.com/course/apa-referencing-style-guide-for-beginners/,www.udemy.com,Writer/Author,free,Humanities
Common English Grammar Mistakes and How to Fix Them--Sampler,https://www.udemy.com/course/common-english-grammar-mistakes-and-how-to-fix-them-sampler/,www.udemy.com,Writer/Author,free,Humanities
Creative Writing - Writer's Block Workbook Volume 1 Month 1,https://www.udemy.com/course/creative-writing-writers-block-workbook-volume-1-month-1/,www.udemy.com,Writer/Author,free,Humanities
Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing,coursera.org,Writer/Author,free,Humanities
Writing Professional Email and Memos (Project-Centered Course),https://www.coursera.org/learn/professional-emails,coursera.org,Writer/Author,free,Humanities
Advanced Writing,https://www.coursera.org/learn/advanced-writing,coursera.org,Writer/Author,free,Humanities
Writing Winning Resumes and Cover Letters,https://www.coursera.org/learn/resume-writing,coursera.org,Writer/Author,free,Humanities
Project: Writing a Research Paper,https://www.coursera.org/learn/academic-writing-capstone,coursera.org,Writer/Author,free,Humanities
Writing a Personal Essay,https://www.coursera.org/learn/personal-essay,coursera.org,Writer/Author,free,Humanities
Academic English: Writing Specialization,https://www.coursera.org/specializations/academic-english,coursera.org,Writer/Author,free,Humanities
Memoir and Personal Essay: Write About Yourself Specialization,https://www.coursera.org/specializations/memoir-personal-essay,coursera.org,Writer/Author,free,Humanities
"Effective Communication: Writing, Design, and Presentation Specialization",https://www.coursera.org/specializations/effective-business-communication,coursera.org,Writer/Author,free,Humanities
Business Writing,https://www.coursera.org/learn/writing-for-business,coursera.org,Writer/Author,free,Humanities
Better Business Writing in English,https://www.coursera.org/learn/business-writing-english,coursera.org,Writer/Author,free,Humanities
Interviewing and Resume Writing in English Specialization,https://www.coursera.org/specializations/english-interview-resume,coursera.org,Writer/Author,free,Humanities
Getting Started with Essay Writing,https://www.coursera.org/learn/getting-started-with-essay-writing,coursera.org,Writer/Author,free,Humanities
Academic and Business Writing,https://www.edx.org/course/academic-and-business-writing,edx.org,Writer/Author,free,Humanities
How to Write an Essay,https://www.edx.org/course/how-to-write-an-essay,edx.org,Writer/Author,free,Humanities
Academic writing for clarity and meaning,https://www.edx.org/course/academic-writing-for-clarity-and-meaning-2,edx.org,Writer/Author,free,Humanities
Effective Business Writing,https://www.edx.org/course/effective-business-writing-2,edx.org,Writer/Author,free,Humanities
Academic Writing Made Easy,https://www.edx.org/course/academic-writing-made-easy-2,edx.org,Writer/Author,free,Humanities
Writing for Social Media,https://www.edx.org/course/writing-for-social-media,edx.org,Writer/Author,free,Humanities
Writing for Social Justice,https://www.edx.org/course/writing-for-social-justice,edx.org,Writer/Author,free,Humanities
Grant Writing and Crowdfunding for Public Libraries,https://www.edx.org/course/grant-writing-and-crowdfunding-for-public-librarie,edx.org,Writer/Author,free,Humanities
Rhetoric: The Art of Persuasive Writing and Public Speaking,https://www.edx.org/course/rhetoric-the-art-of-persuasive-writing-and-public,edx.org,Writer/Author,free,Humanities
How to Write a Novel: Writing the Draft,https://www.edx.org/course/how-to-write-a-novel-writing-the-draft,edx.org,Writer/Author,free,Humanities
How to Write a Novel: Edit & Revise,https://www.edx.org/course/how-to-write-a-novel-edit-revise,edx.org,Writer/Author,free,Humanities
How to Write a Novel: Structure & Outline,https://www.edx.org/course/how-to-write-a-novel-structure-outline,edx.org,Writer/Author,free,Humanities
"Fairy Tales: Meanings, Messages, and Morals",https://www.edx.org/course/fairy-tales-meanings-messages-and-morals,edx.org,Writer/Author,free,Humanities
An Introduction to Screenwriting,https://www.futurelearn.com/courses/screenwriting,futurelearn.com,Writer/Author,free,Humanities
Start Writing Fiction,https://www.futurelearn.com/courses/start-writing-fiction,futurelearn.com,Writer/Author,free,Humanities
A Beginner's Guide to Writing in English for University Study,https://www.futurelearn.com/courses/english-for-study,futurelearn.com,Writer/Author,free,Humanities
Understanding IELTS: Writing,https://www.futurelearn.com/courses/understanding-ielts-writing,futurelearn.com,Writer/Author,free,Humanities
How to Succeed at: Writing Applications,https://www.futurelearn.com/courses/writing-applications,futurelearn.com,Writer/Author,free,Humanities
Discovering Science: Science Writing,https://www.futurelearn.com/courses/discovering-science-science-writing,futurelearn.com,Writer/Author,free,Humanities
Writing Better Emails,https://www.futurelearn.com/courses/better-emails,futurelearn.com,Writer/Author,free,Humanities
,,,Writer/Author,,Humanities
International Women's Health and Human Rights,https://www.coursera.org/learn/womens-health-human-rights,coursera.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Human Rights for Open Societies,https://www.coursera.org/learn/humanrights,coursera.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
International Human Rights Law,https://www.edx.org/course/international-human-rights-law,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Human Rights: The Rights of Refugees,https://www.edx.org/course/human-rights-the-rights-of-refugees-2,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Digital Security and Human Rights,https://www.edx.org/course/digital-security-and-human-rights,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",https://www.edx.org/course/human-rights-human-wrongs-challenging-poverty-vuln,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Child Protection: Children's Rights in Theory and Practice,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
The EU and Human Rights,https://www.edx.org/course/the-eu-and-human-rights,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Human Rights: The Right to Freedom of Expression,https://www.edx.org/course/human-rights-the-right-to-freedom-of-expression,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Freedom of Expression and Information in the Time of Globalization: Advanced Course,https://www.edx.org/course/freedom-of-expression-and-information-in-the-tim-2,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Freedom of Expression and Information in the Time of Globalization: Foundational Course,https://www.edx.org/course/freedom-of-expression-in-the-age-of-globalization,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Introduction to Human Rights,https://www.udemy.com/course/introduction-to-human-rights/,udemy.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Defending Dignity: The Universal Declaration of Human Rights,https://www.futurelearn.com/courses/the-universal-declaration-of-human-rights,futurelearn.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Human Rights and International Criminal Law: An Introduction,https://www.futurelearn.com/courses/human-rights-and-international-criminal-law,futurelearn.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Make Your School Human Rights Friendly,https://www.edx.org/course/make-your-school-human-rights-friendly,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
,,,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,,Humanities
SMstudy® Marketing Research Associate Certification Course,https://www.udemy.com/course/smstudy-marketing-research-associate-certification-course/,udemy.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Beyond Usability: Learn the User Research Toolkit,https://www.udemy.com/course/learn-the-user-research-toolkit/,udemy.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Achieving Research Impact,https://www.udemy.com/course/achieving-research-impact/,udemy.com,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
Comparative Research Designs and Methods,https://www.edx.org/course/comparative-research-designs-and-methods,edx.org,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,free,Humanities
,,,Human Rights Lawyer/Human Rights Educator/Human Resources Officer,,Humanities
Understanding Diversity and Inclusion,https://www.futurelearn.com/courses/diversity-inclusion-awareness,futurelearn.com,Astrobiology,free,Humanities
"Introducing Humanism: Non-religious Approaches to Life, with Sandi Toksvig",https://www.futurelearn.com/courses/introducing-humanism,futurelearn.com,Astrobiology,free,Humanities
,,,China,,Humanities
,,,China,,Humanities
