courses,link,origin_site,profession,subscription,scope
Denim Designing,https://www.udemy.com/course/denim-designing/,udemy.com,Fashion Designer ,free,Design
Start a Streetwear Brand and sell clothing on Shopify,https://www.udemy.com/course/streetwear-brand/,udemy.com,Fashion Designer ,free,Design
Sketch Footwear Design,https://www.udemy.com/course/sketch-footwear-design/,udemy.com,Fashion Designer ,free,Design
Interpret and Draw Production Sketches,https://www.udemy.com/course/interpret-and-draw-production-sketches/,udemy.com,Fashion Designer ,free,Design
,,,Fashion Designer ,,Design
The Maxx You Project How To: Design a Uniquely-You Space,https://www.udemy.com/course/the-maxx-you-project-how-to-design-an-uniquely-you-space/,udemy.com,Interior Designer,free,Design
Design a Room with Google SketchUp Make 15.3,https://www.udemy.com/course/design-a-room-with-google-sketchup-make/,udemy.com,Interior Designer,free,Design
,,,Interior Designer,,Design
Business Model Innovation for Sustainable Landscape Restoration,https://www.coursera.org/learn/bmi-sustainable-landscape-restoration,Coursera.org,Landscape Designer,free,Design
Asian Environmental Humanities: Landscapes in Transition,https://www.coursera.org/learn/asian-environmental-humanities,Coursera.org,Landscape Designer,free,Design
A Business Approach to Sustainable Landscape Restoration,https://www.coursera.org/learn/landscape-restoration-sustainable-development,Coursera.org,Landscape Designer,free,Design
Landscape Leadership: Catalyse Sustainable Development in Landscapes,https://www.edx.org/course/landscape-leadership-catalyse-sustainable-developm,Edx.org,Landscape Designer,free,Design
Landscape Governance: Collaborating Across Sectors and Scales,https://www.edx.org/course/landscape-governance-collaborating-across-sectors,Edx.org,Landscape Designer,free,Design
"Groundscape Architecture Design Lab, re-thinking cities underground",https://www.edx.org/course/groundscape-architecture-design-lab-re-thinking-ci,Edx.org,Landscape Designer,free,Design
Urban Design for the Public Good: Dutch Urbanism,https://www.edx.org/course/urban-design-for-the-public-good-dutch-urbanism,Edx.org,Landscape Designer,free,Design
Site Planning Online,https://www.edx.org/course/site-planning-online,Edx.org,Landscape Designer,free,Design
Learn Landscape Photography,https://www.udemy.com/course/learn-landscapes/,udemy.com,Landscape Designer,free,Design
3D Modelling in Blender,https://www.udemy.com/course/blender-course-aberystwyth-games-hub/,udemy.com,Landscape Designer,free,Design
Urban Innovation: Sustainability and Technology Solutions,https://www.udemy.com/course/urban-innovation/,udemy.com,Landscape Designer,free,Design
,,,Landscape Designer,,Design
Making Architecture,https://www.coursera.org/learn/making-architecture,Coursera.org,Architectural Designer,free,Design
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,https://www.coursera.org/learn/autodesk-revit-architectural-design,Coursera.org,Architectural Designer,free,Design
Sports and Building Aerodynamics,https://www.coursera.org/learn/sports-building-aerodynamics,Coursera.org,Architectural Designer,free,Design
IoT System Architecture: Design and Evaluation,https://www.edx.org/course/iot-system-architecture-design-and-evaluation-2,Edx.org,Architectural Designer,free,Design
Models in Architecture – design through physical & digital models,https://www.edx.org/course/models-in-architecture-design-through-physical-dig,Edx.org,Architectural Designer,free,Design
Smart Cities,https://www.edx.org/course/smart-cities,Edx.org,Architectural Designer,free,Design
Housing and Cities,https://www.edx.org/course/housing-and-cities,Edx.org,Architectural Designer,free,Design
Sustainable Building Design,https://www.edx.org/course/environmental-technologies-in-buildings,Edx.org,Architectural Designer,free,Design
The Art of Structural Engineering: Bridges,https://www.edx.org/course/the-art-of-structural-engineering-bridges,Edx.org,Architectural Designer,free,Design
Entrepreneurial Land Redevelopment Approach: Land Readjustment,https://www.edx.org/course/entrepreneurial-land-redevelopment-approach-land-r,Edx.org,Architectural Designer,free,Design
Autodesk Revit Architecture 2018,https://www.udemy.com/course/autodesk-revit-architecture-2018/,udemy.com,Architectural Designer,free,Design
