courses,link,origin_site,profession,subscription,scope
Astrophysics: Exploring Exoplanets,https://www.edx.org/course/astrophysics-exploring-exoplanets,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
Astrophysics: The Violent Universe,https://www.edx.org/course/astrophysics-the-violent-universe,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
Astrophysics: Cosmology,https://www.edx.org/course/astrophysics-cosmology,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
Introduction to Astrophysics,https://www.edx.org/course/introduction-to-astrophysics,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
Relativity and Astrophysics,https://www.edx.org/course/relativity-and-astrophysics,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
Greatest Unsolved Mysteries of the Universe,https://www.edx.org/course/greatest-unsolved-mysteries-of-the-universe,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
AstroTech: The Science and Technology behind Astronomical Discovery,https://www.coursera.org/learn/astronomy-technology,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
"Astrobiology and the Search for Extraterrestrial Life
",https://www.coursera.org/learn/astrobiology,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
"Origins - Formation of the Universe, Solar System, Earth and Life",https://www.coursera.org/learn/origins-universe-solarsystem,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
Astrobiology: Exploring Other Worlds,https://www.coursera.org/learn/astrobiology-exploring-other-worlds,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
Confronting The Big Questions: Highlights of Modern Astronomy,https://www.coursera.org/learn/astronomy,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
Introduction to the Orbital Perspective,https://www.coursera.org/learn/orbitalperspective,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
Analyzing the Universe,https://www.coursera.org/learn/analyze,coursera.org,Astrophysicists/Astronomer,free,Physical Sciences
ABC of Flight Mechanics: How Do Planes Fly?,https://www.futurelearn.com/courses/flight-mechanics,futurelearn.com,Astrophysicists/Astronomer,free,Physical Sciences
Understanding and Applying Structural Dynamics: Dynamics & Aerospace Structures,https://www.futurelearn.com/courses/understanding-applying-dynamics,futurelearn.com,Astrophysicists/Astronomer,free,Physical Sciences
Flight Vehicle Aerodynamics,https://www.edx.org/course/flight-vehicle-aerodynamics,edx.org,Astrophysicists/Astronomer,free,Physical Sciences
,,,Astrophysicists/Astronomer,,Physical Sciences
,,,"Bioinformaticist
Biological Engineer
Biotechnician",,Physical Sciences
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",https://www.edx.org/course/fundamentals-of-biomedical-imaging-ultrasounds-x-r,edx.org,"Bioinformaticist
Biological Engineer
Biotechnician",free,Physical Sciences
